Title,Authors,Journal/Conference,Year,Citations
Surveillance of antimicrobial resistance in Lebanese hospitals: retrospective nationwide compiled data,"K Chamoun, M Farah, G Araj, Z Daoud, R Moghnieh, P Salameh, ...","International journal of infectious diseases 46, 64-70",2016,149
Validity and reliability of an adapted arabic version of the long international physical activity questionnaire,"K Helou, N El Helou, M Mahfouz, Y Mahfouz, P Salameh, ...","BMC public health 18, 1-8",2018,146
Congenital anomalies: prevalence and risk factors,"R Francine, S Pascale, H Aline","mortality 1 (2), 10.13189",2014,145
The epidemiology of stroke in the Middle East,"M El-Hajj, P Salameh, S Rachidi, H Hosseini","European Stroke Journal 1 (3), 180-198",2016,138
Association between eating behavior and quarantine/confinement stressors during the coronavirus disease 2019 outbreak,"C Haddad, M Zakhour, M Bou Kheir, R Haddad, M Al Hachach, H Sacre, ...","Journal of eating disorders 8, 1-12",2020,137
Mental health outcomes of the COVID-19 pandemic and a collapsing economy: perspectives from a developing country,"P Salameh, H Aline, DA Badro, C Abou Selwan, A Randa, H Sacre","Psychiatry research 294, 113520",2020,131
"Problematic social media use and mental health (depression, anxiety, and insomnia) among Lebanese adults: Any mediating effect of stress?","D Malaeb, P Salameh, S Barbar, E Awad, C Haddad, R Hallit, H Sacre, ...","Perspectives in psychiatric care 57 (2), 539-549",2021,130
Drivers of antibiotic resistance transmission in low-and middle-income countries from a “one health” perspective—a review,"K Iskandar, L Molinier, S Hallit, M Sartelli, F Catena, F Coccolini, ...","Antibiotics 9 (7), 372",2020,129
Self‐medication misuse in the Middle East: a systematic literature review,"MM Khalifeh, ND Moore, PR Salameh","Pharmacology research & perspectives 5 (4), e00323",2017,124
Cross-cultural adaptation and validation of the Arabic version of the BACS scale (the brief assessment of cognition in schizophrenia) among chronic schizophrenic inpatients,"C Haddad, P Salameh, S Hallit, S Obeid, G Haddad, JP Clément, B Calvet","BMC psychiatry 21 (1), 223",2021,119
Assessment of dietary intake patterns and their correlates among university students in Lebanon,"P Salameh, L Jomaa, C Issa, G Farhat, J Salamé, N Zeidan, I Baldi, ...","Frontiers in public health 2, 185",2014,119
Evaluation of medication adherence in Lebanese hypertensive patients,"Y Mohammad, AH Amal, A Sanaa, R Samar, Z Salam, B Wafa, ...","Journal of epidemiology and global health 6 (3), 157-167",2016,116
Assessment of self-medication in population buying antibiotics in pharmacies: a pilot study from Beirut and its suburbs,"L Cheaito, S Azizi, N Saleh, P Salameh","International journal of public health 59, 319-327",2014,114
"The AMEL study, a cross sectional population-based survey on aging and malnutrition in 1200 elderly Lebanese living in rural settings: protocol and sample characteristics","C Boulos, P Salameh, P Barberger-Gateau","BMC Public Health 13, 1-13",2013,113
A Mediterranean diet pattern with low consumption of liquid sweets and refined cereals is negatively associated with adiposity in adults from rural Lebanon,"C Issa, N Darmon, P Salameh, M Maillot, M Batal, D Lairon","International journal of obesity 35 (2), 251-258",2011,112
Antibiotic dispensation by Lebanese pharmacists: a comparison of higher and lower socio-economic levels,"R Farah, N Lahoud, P Salameh, N Saleh","Journal of infection and public health 8 (1), 37-46",2015,100
Respiratory diseases and pesticide exposure: a case-control study in Lebanon,"P Salameh, M Waked, I Baldi, P Brochard, B Abi Saleh","Journal of Epidemiology & Community Health 60 (3), 256-261",2006,96
Diet and allergic diseases among population aged 0 to 18 years: myth or reality?,"D Saadeh, P Salameh, I Baldi, C Raherison","Nutrients 5 (9), 3399-3423",2013,89
Chronic obstructive pulmonary disease prevalence in Lebanon: a cross-sectional descriptive study,"M Waked, G Khayat, P Salameh","Clinical Epidemiology, 315-323",2011,89
"Suicidal ideation among Lebanese adolescents: scale validation, prevalence and correlates","M Chahine, P Salameh, C Haddad, H Sacre, M Soufia, M Akel, S Obeid, ...","BMC psychiatry 20, 1-11",2020,87
"Factors associated with alcohol use disorder: the role of depression, anxiety, stress, alexithymia and work fatigue-a population study in Lebanon","S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh, S Hallit","BMC public health 20, 1-11",2020,84
Saliva cotinine and exhaled carbon monoxide levels in natural environment waterpipe smokers,"ZA Bacha, P Salameh, M Waked","Inhalation toxicology 19 (9), 771-777",2007,84
Attitudes of Lebanese adults regarding COVID-19 vaccination,"C Kasrine Al Halabi, S Obeid, H Sacre, M Akel, R Hallit, P Salameh, ...","BMC public health 21 (1), 998",2021,82
Smoking and COVID-19: a scoping review,"C Haddad, S Bou Malhab, H Sacre, P Salameh","Tobacco use insights 14, 1179173X21994612",2021,82
"Assessing knowledge, attitude, practice, and preparedness of hospital pharmacists in Lebanon towards COVID-19 pandemic: a cross-sectional study","RM Zeenny, E Ramia, Y Akiki, S Hallit, P Salameh","Journal of pharmaceutical policy and practice 13 (1), 54",2020,82
Validation of the Hamilton anxiety rating scale and state trait anxiety inventory a and B in Arabic among the Lebanese population,"S Hallit, C Haddad, R Hallit, M Akel, S Obeid, G Haddad, M Soufia, ...","Clinical epidemiology and global health 8 (4), 1104-1109",2020,82
COVID-19 pandemic and mental health in Lebanon: a cross-sectional study,"R El Othman, E Touma, R El Othman, C Haddad, R Hallit, S Obeid, ...","International Journal of Psychiatry in Clinical Practice 25 (2), 152-163",2021,80
Drug-related problems identified by clinical pharmacist's students and pharmacist's interventions,"AH Al-Hajje, F Atoui, S Awada, S Rachidi, S Zein, P Salameh","Annales pharmaceutiques françaises 70 (3), 169-176",2012,78
"Attachment style and addictions (alcohol, cigarette, waterpipe and internet) among Lebanese adolescents: a national study","L Nakhoul, S Obeid, H Sacre, C Haddad, M Soufia, R Hallit, M Akel, ...","BMC psychology 8, 1-10",2020,77
Obesity and symptoms of depression among adults in selected countries of the M iddle E ast: a systematic review and meta‐analysis,"L Abou Abbas, P Salameh, W Nasser, Z Nasser, I Godin","Clinical obesity 5 (1), 2-11",2015,77
High iron level in early pregnancy increased glucose intolerance,"S Zein, S Rachidi, S Awada, M Osman, A Al-Hajje, N Shami, I Sharara, ...","Journal of Trace Elements in Medicine and Biology 30, 220-225",2015,76
Factors associated with poor nutritional status among community dwelling Lebanese elderly subjects living in rural areas: results of the AMEL study,"C Boulos, P Salameh, P Barberger-Gateau","The journal of nutrition, health & aging 18, 487-494",2014,76
"Video gaming addiction and its association with memory, attention and learning skills in Lebanese children","Y Farchakh, C Haddad, H Sacre, S Obeid, P Salameh, S Hallit","Child and Adolescent Psychiatry and Mental Health 14, 1-11",2020,73
Autism in children and correlates in Lebanon: a pilot case-control study,"A Hamadé, P Salameh, HM MEDLEJ, ME HAJJ, ZN SAADALLAH, F Rizk","JOURNAL OF RESEARCH IN HEALTH SCIENCES (JRHS) 13 (2), 119-124",2013,73
"Knowledge, attitudes, and practices toward the coronavirus disease 2019 (COVID‐19) among nurses in Lebanon","D Saadeh, H Sacre, S Hallit, R Farah, P Salameh","Perspectives in psychiatric care 57 (3), 1212-1221",2021,72
Construction of the Lebanese Anxiety Scale (LAS-10): a new scale to assess anxiety in adult patients,"S Hallit, S Obeid, C Haddad, R Hallit, M Akel, G Haddad, M Soufia, ...","International Journal of Psychiatry in Clinical Practice 24 (3), 270-277",2020,72
Validation of the Arabic version of the Eating Attitude Test in Lebanon: a population study,"C Haddad, C Khoury, P Salameh, H Sacre, R Hallit, N Kheir, S Obeid, ...","Public health nutrition 24 (13), 4132-4143",2021,71
Knowledge of pharmacists and parents towards antibiotic use in pediatrics: a cross-sectional study in Lebanon,"L Zahreddine, S Hallit, S Shakaroun, A Al-Hajje, S Awada, N Lahoud",Pharmacy Practice (Granada) 16 (3),2018,70
Prevalence and association of asthma and allergic sensitization with dietary factors in schoolchildren: data from the french six cities study,"D Saadeh, P Salameh, D Caillaud, D Charpin, F De Blay, C Kopferschmitt, ...","BMC public health 15, 1-11",2015,67
Knowledge and practice of university students in Lebanon regarding contraception,"B Barbour, P Salameh","East Mediterr Health J 15 (2), 387-399",2009,66
Unhealthy behaviors and risk of uncontrolled hypertension among treated individuals-The CONSTANCES population-based study,"M Cherfan, A Vallee, S Kab, P Salameh, M Goldberg, M Zins, J Blacher","Scientific Reports 10 (1), 1925",2020,65
Epidemiology and microbiological profile comparison between community and hospital acquired infections: a multicenter retrospective study in Lebanon,"R Matta, S Hallit, R Hallit, W Bawab, AM Rogues, P Salameh","Journal of infection and public health 11 (3), 405-411",2018,65
"Reliability, factor analysis and internal consistency calculation of the Insomnia Severity Index (ISI) in French and in English among Lebanese adolescents","M Chahoud, R Chahine, P Salameh, EA Sauleau","ENeurologicalSci 7, 9-14",2017,65
Evaluation of antibiotic prescription in the Lebanese community: a pilot study,"N Saleh, S Awada, R Awwad, S Jibai, C Arfoul, L Zaiter, W Dib, ...","Infection ecology & epidemiology 5 (1), 27094",2015,64
Patient perception of acute pain management: data from three tertiary care hospitals,"E Ramia, SC Nasser, P Salameh, AH Saad","Pain Research and Management 2017 (1), 7459360",2017,63
Factors associated with alexithymia among the Lebanese population: results of a cross-sectional study,"S Obeid, M Akel, C Haddad, K Fares, H Sacre, P Salameh, S Hallit","BMC psychology 7, 1-10",2019,62
"Influenza vaccination: a cross-sectional survey of knowledge, attitude and practices among the Lebanese adult population","G El Khoury, P Salameh",International journal of environmental research and public health 12 (12 …,2015,62
Outdoor particulate matter (PM) and associated cardiovascular diseases in the Middle East,"Z Nasser, PR Salameh, W Nasser, LA Abbas, EM Elias, A Leveque",Walter de Gruyter GmbH,2015,62
Water-pipe (narguile) smokers in Lebanon: a pilot study.,"M Waked, P Salameh, Z Aoun",Eastern Mediterranean health journal 15 (2),2009,60
Adolescent obesity in Lebanese private schools,"H Chakar, PR Salameh","The European Journal of Public Health 16 (6), 648-651",2006,60
Validation of the Arabic version of the “12-item short-form health survey”(SF-12) in a sample of Lebanese adults,"C Haddad, H Sacre, S Obeid, P Salameh, S Hallit","Archives of Public Health 79 (1), 56",2021,59
"Prevalence and factors affecting the level of depression, anxiety, and stress in hospitalized patients with a chronic disease.","N Fattouh, S Hallit, P Salameh, G Choueiry, F Kazour, R Hallit",Perspectives in psychiatric care 55 (4),2019,59
Cross-cultural differences in orthorexic eating behaviors: Associations with personality traits,"J Strahler, C Haddad, P Salameh, H Sacre, S Obeid, S Hallit","Nutrition 77, 110811",2020,58
Mutational spectrum of cystic fibrosis in the Lebanese population,"C Farra, R Menassa, J Awwad, Y Morel, P Salameh, N Yazbeck, ...","Journal of cystic fibrosis 9 (6), 406-410",2010,58
"An assessment of quality of life in patients with asthma through physical, emotional, social, and occupational aspects. A cross-sectional study","Z Kharaba, E Feghali, F El Husseini, H Sacre, C Abou Selwan, S Saadeh, ...","Frontiers in public health 10, 883784",2022,57
Highlighting the gaps in quantifying the economic burden of surgical site infections associated with antimicrobial-resistant bacteria,"K Iskandar, M Sartelli, M Tabbal, L Ansaloni, GL Baiocchi, F Catena, ...","World Journal of Emergency Surgery 14, 1-14",2019,56
Type II diabetes mellitus and hyperhomocysteinemia: a complex interaction,"DE Platt, E Hariri, P Salameh, M Merhi, N Sabbah, M Helou, F Mouzaya, ...","Diabetology & metabolic syndrome 9, 1-7",2017,56
Factors affecting medication adherence in Lebanese patients with chronic diseases,"A Al-Hajje, S Awada, S Rachidi, S Zein, W Bawab, Z El-Hajj, MB Zeid, ...","Pharmacy practice 13 (3), 590",2015,56
Community pharmacy in Lebanon: A societal perspective,"K Iskandar, S Hallit, EB Raad, F Droubi, N Layoun, P Salameh",Pharmacy Practice (Granada) 15 (2),2017,55
"Risk perception, motives and behaviours in university students","P Salameh, J Salamé, M Waked, B Barbour, N Zeidan, I Baldi","International Journal of adolescence and youth 19 (3), 279-292",2014,55
Association between cognitive function and nutritional status in elderly: A cross-sectional study in three institutions of Beirut—Lebanon,"M El Zoghbi, C Boulos, N Saleh, S Awada, S Rachidi, W Bawab, ...","Geriatric Mental Health Care 1 (4), 73-81",2013,55
"Lower prevalence of cigarette and waterpipe smoking, but a higher risk of waterpipe dependence in Lebanese adult women than in men","P Salameh, G Khayat, M Waked","Women & health 52 (2), 135-150",2012,55
"Knowledge, attitudes, and practices related to dietary supplementation, before and during the COVID-19 pandemic: Findings from a cross-sectional survey in the Lebanese population","H Mohsen, N Yazbeck, A Al-Jawaldeh, N Bou Chahine, H Hamieh, ...","International journal of environmental research and public health 18 (16), 8856",2021,54
Factors associated with depression among the Lebanese population: Results of a cross‐sectional study,"S Obeid, N Lahoud, C Haddad, H Sacre, M Akel, K Fares, P Salameh, ...","Perspectives in psychiatric care 56 (4), 956-967",2020,54
Mapping and assessment of personal and professional development skills in a pharmacy curriculum,"E Ramia, P Salameh, IF Btaiche, AH Saad","BMC medical education 16, 1-13",2016,53
Prevalence and correlates of coronary heart disease: first population-based study in Lebanon,"RK Zeidan, R Farah, MN Chahine, R Asmar, H Hosseini, P Salameh, ...","Vascular health and risk management, 75-84",2016,53
Factors associated with problematic social media use among a sample of Lebanese adults: The mediating role of emotional intelligence,"S Barbar, C Haddad, H Sacre, D Dagher, M Akel, N Kheir, P Salameh, ...","Perspectives in psychiatric care 57 (3), 1313-1322",2021,52
"Factors associated with fear of intimacy among a representative sample of the Lebanese population: The role of depression, social phobia, self‐esteem, intimate partner violence …","S Obeid, H Sacre, C Haddad, M Akel, K Fares, M Zakhour, N Kheir, ...","Perspectives in psychiatric care 56 (3), 486-494",2020,52
"Interaction between anxiety and depression on suicidal ideation, quality of life, and work productivity impairment: Results from a representative sample of the Lebanese population.","W Khansa, C Haddad, R Hallit, M Akel, S Obeid, G Haddad, M Soufia, ...",Perspectives in psychiatric care 56 (2),2020,52
The prevalence and awareness of cardiovascular diseases risk factors among the Lebanese population: a prospective study comparing urban to rural populations,"I Fahs, Z Khalife, D Malaeb, M Iskandarani, P Salameh","Cardiology research and practice 2017 (1), 3530902",2017,52
Psychological distress in Lebanese young adults: constructing the screening tool ‘BDS-22’,"B Barbour, N Saadeh, PR Salameh","International Journal of Culture and Mental Health 5 (2), 94-108",2012,52
Factors associated with problematic internet use among a large sample of Lebanese adolescents,"JE Dib, C Haddad, H Sacre, M Akel, P Salameh, S Obeid, S Hallit","BMC pediatrics 21, 1-12",2021,51
"Factors associated with anxiety among the Lebanese population: the role of alexithymia, self-esteem, alcohol use disorders, emotional intelligence and stress and burnout","S Obeid, N Lahoud, C Haddad, H Sacre, K Fares, M Akel, P Salameh, ...","International Journal of Psychiatry in Clinical Practice 24 (2), 151-162",2020,51
Removed: Validation of the Hamilton anxiety rating scale and state trait anxiety inventory A and B in Arabic among the Lebanese population,"S Hallit, C Haddad, R Hallit, M Akel, S Obeid, G Haddad, M Soufia, ...","Clinical Epidemiology and Global Health 7 (3), 464-470",2019,51
Consumption of energy drinks among lebanese youth: a pilot study on the prevalence and side effects,"M Itany, B Diab, S Rachidi, S Awada, A Al Hajje, W Bawab, P Salameh","International journal of high risk behaviors & addiction 3 (3), e18857",2014,51
"Bullying victimization among Lebanese adolescents: the role of child abuse, internet addiction, social phobia and depression and validation of the Illinois bully scale","D Malaeb, E Awad, C Haddad, P Salameh, H Sacre, M Akel, M Soufia, ...","BMC pediatrics 20, 1-11",2020,49
Misconceptions and malpractices toward antibiotic use in childhood upper respiratory tract infections among a cohort of Lebanese parents,"G El Khoury, E Ramia, P Salameh","Evaluation & the health professions 41 (4), 493-511",2018,49
Community-and healthcare-associated infections in critically ill patients: a multicenter cohort study,"G Dabar, C Harmouche, P Salameh, BL Jaber, G Jamaleddine, M Waked, ...","International Journal of Infectious Diseases 37, 80-85",2015,49
"Smartphone screen time among university students in Lebanon and its association with insomnia, bedtime procrastination, and body mass index during the COVID-19 pandemic: a …","SF Hammoudi, HW Mreydem, BT Abou Ali, NO Saleh, S Chung, S Hallit, ...","Psychiatry investigation 18 (9), 871",2021,48
"Factors associated with the adults' attachment styles in Lebanon: The role of alexithymia, depression, anxiety, stress, burnout, and emotional intelligence.","S Obeid, C Haddad, M Akel, K Fares, P Salameh, S Hallit",Perspectives in psychiatric care 55 (4),2019,48
Anxiety among Lebanese adolescents: scale validation and correlates,"G Merhy, V Azzi, P Salameh, S Obeid, S Hallit","BMC pediatrics 21 (1), 288",2021,47
Development and validation of a quantitative food frequency questionnaire to assess dietary intake among Lebanese adults,"M Harmouche-Karaki, M Mahfouz, J Obeyd, P Salameh, Y Mahfouz, ...","Nutrition journal 19, 1-19",2020,47
Pain management in hospitals: patients’ satisfaction and related barriers,"S Tawil, K Iskandar, P Salameh",Pharmacy Practice (Granada) 16 (3),2018,47
Saliva Cotinine and Exhaled Carbon Monoxide in Real Life Waterpipe Smokers: A Post Hoc Analysis,"S Pascale, AB Zeina, W Mirna","Tobacco Use Insights 2, TUI. S2317",2009,47
Suicidal ideation among Lebanese adults: scale validation and correlates,"M Zakhour, C Haddad, H Sacre, K Fares, M Akel, S Obeid, P Salameh, ...","BMC psychiatry 21, 1-11",2021,46
Validation of the AUDIT scale and factors associated with alcohol use disorder in adolescents: results of a National Lebanese Study,"J Hallit, P Salameh, C Haddad, H Sacre, M Soufia, M Akel, S Obeid, ...","BMC pediatrics 20, 1-10",2020,45
Lower extremity venous thrombosis in patients younger than 50 years of age,"R Kreidy, P Salameh, M Waked","Vascular health and risk management, 161-167",2012,45
Validation of selected sleeping disorders related scales in Arabic among the Lebanese population,"S Hallit, C Haddad, R Hallit, G Al Karaki, D Malaeb, H Sacre, N Kheir, ...","Sleep and Biological Rhythms 17, 183-189",2019,44
Monitoring and evaluation of the global action plan on antimicrobial resistance: framework and recommended indicators,World Health Organization,Monitoring and evaluation of the global action plan on antimicrobial …,2019,44
Waterpipe dependence in university students and effect of normative beliefs: a cross-sectional study,"P Salameh, J Salamé, M Waked, B Barbour, N Zeidan, I Baldi","BMJ open 4 (2), e004378",2014,44
Association between parental divorce and mental health outcomes among Lebanese adolescents: results of a national study,"S Obeid, G Al Karaki, C Haddad, H Sacre, M Soufia, R Hallit, P Salameh, ...","BMC pediatrics 21, 1-9",2021,43
Impact of the interaction between alexithymia and the adult attachment styles in participants with alcohol use disorder,"M Zakhour, C Haddad, P Salameh, M Akel, K Fares, H Sacre, S Hallit, ...","Alcohol 83, 1-8",2020,43
Waterpipe effects on pulmonary function and cardiovascular indices: a comparison to cigarette smoking in real life situation,"N Layoun, N Saleh, B Barbour, S Awada, S Rachidi, A Al-Hajje, W Bawab, ...","Inhalation toxicology 26 (10), 620-627",2014,43
Lung cancer correlates in Lebanese adults: a pilot case–control study,"J Aoun, N Saleh, M Waked, J Salamé, P Salameh","Journal of epidemiology and global health 3 (4), 235-244",2013,43
Waterpipe smoking and dependence are associated with chronic bronchitis: a case-control study in Lebanon.,"P Salameh, M Waked, F Khoury, Z Akiki, Z Nasser, L Abou Abbass, ...",Eastern Mediterranean Health Journal 18 (10),2012,43
The AVAIL ME study: a multinational survey of VTE risk and prophylaxis,"AT Taher, J Aoun, P Salameh","Journal of thrombosis and thrombolysis 31, 47-56",2011,43
Should samples be weighted to decrease selection bias in online surveys during the COVID-19 pandemic? Data from seven datasets,"C Haddad, H Sacre, RM Zeenny, A Hajj, M Akel, K Iskandar, P Salameh","BMC medical research methodology 22 (1), 63",2022,42
"Correlates of emotional intelligence among Lebanese adults: the role of depression, anxiety, suicidal ideation, alcohol use disorder, alexithymia and work fatigue","S Obeid, C Haddad, K Fares, D Malaeb, H Sacre, M Akel, P Salameh, ...","BMC psychology 9, 1-12",2021,42
"Binge eating, orthorexia nervosa, restrained eating, and quality of life: a population study in Lebanon","E Sfeir, C Haddad, P Salameh, H Sacre, R Hallit, M Akel, K Honein, ...","Eating and weight disorders-studies on anorexia, bulimia and obesity 26, 145-158",2021,42
Development of the Lebanese insomnia scale (LIS-18): a new scale to assess insomnia in adult patients,"S Hallit, H Sacre, C Haddad, D Malaeb, G Al Karaki, N Kheir, A Hajj, ...","BMC psychiatry 19, 1-10",2019,42
Chronic bronchitis and pesticide exposure: a case–control study in Lebanon,"PR Salameh, M Waked, I Baldi, P Brochard, BA Saleh","European journal of epidemiology 21, 681-688",2006,42
Exploring the impact of crises on food security in Lebanon: results from a national cross-sectional study,"M Hoteit, Y Al-Atat, H Joumaa, SE Ghali, R Mansour, R Mhanna, ...","Sustainability 13 (16), 8753",2021,41
"Knowledge, attitudes and practices towards people living with HIV/AIDS in Lebanon","L Youssef, S Hallit, H Sacre, P Salameh, M Cherfan, M Akel, M Hleyhel","PLoS One 16 (3), e0249025",2021,41
"Burnout and its relationships with alexithymia, stress, self-esteem, depression, alcohol use disorders, and emotional intelligence: results from a Lebanese cross-sectional study","N Lahoud, M Zakhour, C Haddad, P Salameh, M Akel, K Fares, S Hallit, ...","The Journal of nervous and mental disease 207 (8), 642-650",2019,41
Cigarette and waterpipe smoking decrease respiratory quality of life in adults: results from a national cross‐sectional study,"S Joseph, S Pascale, K Georges, W Mirna","Pulmonary medicine 2012 (1), 868294",2012,41
"Association between impulsivity and orthorexia nervosa/healthy orthorexia: any mediating effect of depression, anxiety, and stress?","E Awad, P Salameh, H Sacre, D Malaeb, S Hallit, S Obeid","BMC psychiatry 21, 1-14",2021,40
"Assessment of knowledge, attitude and practice among community pharmacists towards dental care: A national cross sectional survey","A Hajj, S Hallit, C Azzo, F Abdou, M Akel, H Sacre, P Salameh, ...","Saudi Pharmaceutical Journal 27 (4), 475-483",2019,40
Situation analysis of community pharmacy owners in Lebanon,"S Hallit, RM Zeenny, G Sili, P Salameh",Pharmacy Practice (Granada) 15 (1),2017,40
Assessment of health risk behaviours among university students: a cross-sectional study in Lebanon,"P Salameh, L Jomaa, C Issa, G Farhat, H Zeghondi, N Gerges, ...","International Journal of Adolescence and Youth 19 (2), 203-216",2014,40
"Attachment styles and their association with aggression, hostility, and anger in Lebanese adolescents: a national study","E Maalouf, P Salameh, C Haddad, H Sacre, S Hallit, S Obeid","BMC psychology 10 (1), 104",2022,38
Stigma toward people with COVID-19 among the Lebanese population: a cross-sectional study of correlates and mediating effects,"C Haddad, S Bou Malhab, D Malaeb, H Sacre, D Saadeh, V Mourtada, ...","BMC psychology 9, 1-15",2021,38
Good pharmacy practice assessment among community pharmacies in Lebanon,"DA Badro, H Sacre, S Hallit, A Amhaz, P Salameh",Pharmacy Practice (Granada) 18 (1),2020,38
Validation of asthma control questionnaire and risk factors affecting uncontrolled asthma among the Lebanese children's population,"S Hallit, C Raherison, M Waked, P Salameh","Respiratory medicine 122, 51-57",2017,38
Hypertension in the Lebanese adults: Impact on health related quality of life,"M Khalifeh, P Salameh, AA Hajje, S Awada, S Rachidi, W Bawab","Journal of epidemiology and global health 5 (4), 327-336",2015,38
A new Lebanese medication adherence scale: validation in Lebanese hypertensive adults,"R Bou Serhal, P Salameh, N Wakim, C Issa, B Kassem, L Abou Jaoude, ...","International journal of hypertension 2018 (1), 3934296",2018,37
Exposure to toxics during pregnancy and childhood and asthma in children: A pilot study,"S Hallit, P Salameh","Journal of epidemiology and global health 7 (3), 147-154",2017,37
"Prevalence of malnutrition and its correlates in older adults living in long stay institutions situated in Beirut, Lebanon","M El Zoghbi, C Boulos, S Awada, S Rachidi, A Al-Hajje, W Bawab, ...","J Res Health Sci 14 (1), 11-7",2014,37
Prevalence and risk factors of erectile dysfunction among patients attending primary health care centres in Qatar,"A Ahmed, A Alnaama, K Shams, M Salem","East Mediterr Health J 17 (7), 587-92",2011,37
"Phubbing among Lebanese young adults: Scale validation and association with mental health (depression, anxiety, and stress)","Z Bitar, M Akel, P Salameh, S Obeid, S Hallit","Current psychology 42 (23), 19709-19720",2023,36
Social media medical misinformation: impact on mental health and vaccination decision among university students,"D Jabbour, JE Masri, R Nawfal, D Malaeb, P Salameh","Irish Journal of Medical Science (1971-) 192 (1), 291-301",2023,36
Phubbing and temperaments among young Lebanese adults: the mediating effect of self-esteem and emotional intelligence,"Z Bitar, S Hallit, W Khansa, S Obeid","BMC psychology 9 (1), 87",2021,36
Prevalence of Lebanese stroke survivors: A comparative pilot study,"N Lahoud, P Salameh, N Saleh, H Hosseini","Journal of epidemiology and global health 6 (3), 169-176",2016,36
Effects of antipsychotic and anticholinergic medications on cognition in chronic patients with schizophrenia,"C Haddad, P Salameh, H Sacre, JP Clément, B Calvet","BMC psychiatry 23 (1), 61",2023,35
Adherence to levothyroxine among patients with hypothyroidism in Lebanon,"S El Helou, S Hallit, S Awada, A Al-Hajje, S Rachidi, W Bawab, ...",EMHJ 25 (3-2019),2019,35
Assessment of patients’ knowledge and practices regarding their medication use and risks in Lebanon,"E Ramia, RM Zeenny, S Hallit, P Salameh, ...","International Journal of Clinical Pharmacy 39, 1084-1094",2017,35
Predictors of uncontrolled blood pressure in treated hypertensive individuals: first population‐based study in Lebanon,"R Farah, RK Zeidan, MN Chahine, R Asmar, R Chahine, P Salameh, ...","The Journal of Clinical Hypertension 18 (9), 871-877",2016,35
Prevalence and risk factors of low back pain among office workers in lebanon,"W Bawab, K ISMAIL, S AWADA, S RACHIDI, A AL HAJJE, P SALAMEH","International Journal of Occupational Hygiene 7 (1), 45-52",2015,35
Public schools adolescents’ obesity and growth curves in Lebanon,"HR Chacar, P Salameh","المجلة الطبية اللبنانية 103 (366), 1-9",2011,35
Spirometric changes following the use of pesticides,"P Salameh, M Waked, I Baldi, P Brochard","Eastern Mediterranean health journal 11 (1/2), 126",2005,35
