id,name,organization,profile link,affiliation,majors
jAwjcxQAAAAJ,Nabil Karami,Lebanese University,https://scholar.google.com/citations?hl=en&user=jAwjcxQAAAAJ,"Associate professor, Lebanese University and Laboratory of Sciences in Information and …",Renewable Energy Solar Energy Fuel Cell Power Electronics Embedded Systems
DRAVumEAAAAJ,Dima Mnayer,Lebanese University,https://scholar.google.com/citations?hl=en&user=DRAVumEAAAAJ,"Associate Professor on Food, Lebanese University",Food Safety Food Sciences natural plant extracts essential oils
usQNs34AAAAJ,Antoine Berberi,Lebanese University,https://scholar.google.com/citations?hl=en&user=usQNs34AAAAJ,Lebanese University,Oral surgery Implantology Stem cells
7hxvujcAAAAJ,Norma Ghamrawi,Lebanese University,https://scholar.google.com/citations?hl=en&user=7hxvujcAAAAJ,"Professor of Education, Lebanese University",Educational Leadership Teacher Leadership Middle Leadership AI Leadership Virtual Communities
DnFAq3IAAAAJ,Amira Haddarah,Lebanese University,https://scholar.google.com/citations?hl=en&user=DnFAq3IAAAAJ,Lebanese University,Professor Agriculture Food Technology
Rx73hZcAAAAJ,Maha Hoteit,Lebanese University,https://scholar.google.com/citations?hl=en&user=Rx73hZcAAAAJ,Faculty of Public Health Lebanese university,Trans fat Public Health Nutrition Food security Food safety malnutrition
0yU8LsEAAAAJ,Hassan Shraim,Lebanese University,https://scholar.google.com/citations?hl=en&user=0yU8LsEAAAAJ,Lebanese University,Vehicles: Electrical and hybrid vehicles UAV UWV
XwKPVqAAAAAJ,Carole Bassil,Lebanese University,https://scholar.google.com/citations?hl=en&user=XwKPVqAAAAAJ,Professor - Lebanese University,Networking security VANET IoT 5G
2q5lQf8AAAAJ,Linda Abou Abbas,Lebanese University,https://scholar.google.com/citations?hl=en&user=2q5lQf8AAAAJ,Lebanese University,research
AvMEwJQAAAAJ,Hala Chamieh,Lebanese University,https://scholar.google.com/citations?hl=en&user=AvMEwJQAAAAJ,Lebanese University,Biotechnology production of recombinant biopolymers
SLitJSsAAAAJ,Mirvat ZAKHOUR,Lebanese University,https://scholar.google.com/citations?hl=en&user=SLitJSsAAAAJ,Lebanese University,Physical Chemistry of materials
hTkXUSUAAAAJ,Raghida Abou Merhi,Lebanese University,https://scholar.google.com/citations?hl=en&user=hTkXUSUAAAAJ,Professor of Biology- Lebanese University,Cancer   Genomics Instability   Epigenetics
4uTjMskAAAAJ,Aline Hamade,Lebanese University,https://scholar.google.com/citations?hl=en&user=4uTjMskAAAAJ,Lebanese University,Stem Cells and Developmental Biology
rRSc6loAAAAJ,Ziad Herro,Lebanese University,https://scholar.google.com/citations?hl=en&user=rRSc6loAAAAJ,Lebanese University,Materials Science Nanotechnology
zKAcqxMAAAAJ,Daoud NAOUFAL,Lebanese University,https://scholar.google.com/citations?hl=en&user=zKAcqxMAAAAJ,"Professor of Chemistry, Lebanese University",Inorganic Chemistry Organometallic Chemistry Boron Chemistry
4VQDheoAAAAJ,Wassim El Falou,Lebanese University,https://scholar.google.com/citations?hl=en&user=4VQDheoAAAAJ,Associate Professor At Lebanese University - Faculty of Engineering 1,Signal Processing Embedded Systems Brain Computer Interface Artificial Intelligence Biomedical Engineering
D2zAK7EAAAAJ,Hassan Amoud,Lebanese University,https://scholar.google.com/citations?hl=en&user=D2zAK7EAAAAJ,Lebanese University,signal processing data scientist biomedical engineering
aUzO-JgAAAAJ,Georges Aoun,Lebanese University,https://scholar.google.com/citations?hl=en&user=aUzO-JgAAAAJ,"Professor, Oral Medicine, Faculty of Dental Medicine, Lebanese University",Oral Medicine Oral Pathology Head and Neck Anatomy
rCQuA78AAAAJ,Bachar ELHASSAN,Lebanese University,https://scholar.google.com/citations?hl=en&user=rCQuA78AAAAJ,"Professor, Electrical department, Faculty of Engineering, Lebanese University",wireless communications wireless sensor networks computer vision
KNx1hmgAAAAJ,Iyad Karameh,Lebanese University,https://scholar.google.com/citations?hl=en&user=KNx1hmgAAAAJ,"Professor of Chemistry, Lebanese University",Chemistry
3QISfYwAAAAJ,Jalal Halwani,Lebanese University,https://scholar.google.com/citations?hl=en&user=3QISfYwAAAAJ,Lebanese University,Water & Environment
OfU7OUgAAAAJ,Gilbert Accary,Lebanese University,https://scholar.google.com/citations?hl=en&user=OfU7OUgAAAAJ,Lebanese University,fluid mechanics heat transfer CFD fire modeling
oRq8HAIAAAAJ,rania azar,Lebanese University,https://scholar.google.com/citations?hl=en&user=oRq8HAIAAAAJ,"Professor of Pathophysiology, Lebanese University",Pharmacy Pharmacology Pathophysiology Oncology Biotechnology
TVtdu6wAAAAJ,Mohamed Rammal,Lebanese University,https://scholar.google.com/citations?hl=en&user=TVtdu6wAAAAJ,Lebanese Univesity,antennas
xaTjDdYAAAAJ,Jean Stephan,Lebanese University,https://scholar.google.com/citations?hl=en&user=xaTjDdYAAAAJ,"Professor of conservation and management of natural resources, Lebanese University",Forest ecology biodiversity bio-climatology climate change
rEfmcDMAAAAJ,Youssef Zaatar,Lebanese University,https://scholar.google.com/citations?hl=en&user=rEfmcDMAAAAJ,Lebanese University - Faculty of Science,Electronics sensors
KoJ4YtAAAAAJ,Nathalie Khreich,Lebanese University,https://scholar.google.com/citations?hl=en&user=KoJ4YtAAAAAJ,Professor in molecular and cell biology at the lebanese university,Drug targeting  drug encapsulation …
HI7ZS9IAAAAJ,Rabih Tauk,Lebanese University,https://scholar.google.com/citations?hl=en&user=HI7ZS9IAAAAJ,Lebanese University,physics condensed matter
-ViwcYEAAAAJ,Jose Johann Chidiac,Lebanese University,https://scholar.google.com/citations?hl=en&user=-ViwcYEAAAAJ,"Professor, School of Dentistry, Lebanese University",Prosthodontics OroFacial Pain Neuroscience Rat
9jVA0VEAAAAJ,Ali Salami,Lebanese University,https://scholar.google.com/citations?hl=en&user=9jVA0VEAAAAJ,Lebanese University,Statistics Biostatistics Epidemiology
kWI9MekAAAAJ,Nancy Nehme,Lebanese University,https://scholar.google.com/citations?hl=en&user=kWI9MekAAAAJ,Professor of Microbiology at Faculty of Agriculture and Veterinary Medicine and Faculty of …,Food and industrial microbiology- Wine …
s72_shkAAAAJ,Hussein HAMAD,Lebanese University,https://scholar.google.com/citations?hl=en&user=s72_shkAAAAJ,chemistry; Lebanese university,
3ubD59sAAAAJ,Elias Kinab,Lebanese University,https://scholar.google.com/citations?hl=en&user=3ubD59sAAAAJ,"Associate Professor, Lebanese University",Energy Efficiency Renewable Energy Thermodynamics Heat and Mass Transfer Green Buildings
f1tMvqYAAAAJ,Said El Hage,Lebanese University,https://scholar.google.com/citations?hl=en&user=f1tMvqYAAAAJ,Lebanese University,Medicine oncology neurosciences
4AqMJ4QAAAAJ,Georges Salloum,Lebanese University,https://scholar.google.com/citations?hl=en&user=4AqMJ4QAAAAJ,"Professor, Lebanese University",Electric machines Optimization control sensorless electrical engineering
ng1uIPAAAAAJ,Layale YAGHI,Lebanese University,https://scholar.google.com/citations?hl=en&user=ng1uIPAAAAAJ,Lebanese University - Faculty of Medical Sciences (Biochemistry and Molecular Biology),HLA-G HIF Hypoxia microRNAs Cancer
vaUt1oYAAAAJ,Madona Boulos,Lebanese University,https://scholar.google.com/citations?hl=en&user=vaUt1oYAAAAJ,Professor in Material sciences in Lebanese University,Materials science
UAU7GrkAAAAJ,Adnan Naja,Lebanese University,https://scholar.google.com/citations?hl=en&user=UAU7GrkAAAAJ,Lebanese University,Physique fondamentale
7VtsVMMAAAAJ,Nada Chendeb,Lebanese University,https://scholar.google.com/citations?hl=en&user=7VtsVMMAAAAJ,"Professor of Communications, Networking and Computer Science, Lebanese University",Networking IoT Big Data Cloud Computing Blockchain
8qMvQ9MAAAAJ,Ali Awdeh,Lebanese University,https://scholar.google.com/citations?hl=en&user=8qMvQ9MAAAAJ,"Professor of Finance, Lebanese University",Banking Monetary Policy Financial Development Sustainable Finance Financing for Development
pMOx4PgAAAAJ,Zeinab Ezzeddine,Lebanese University,https://scholar.google.com/citations?hl=en&user=pMOx4PgAAAAJ,"Islamic University of Lebanon - High Council for Scientific Research / UL, department of …",Public Health Materials Chemistry Wastewater Treatment Biology
-8hoBPUAAAAJ,Rita Karam,Lebanese University,https://scholar.google.com/citations?hl=en&user=-8hoBPUAAAAJ,"Full Time Professor, Lebanese University",Health technology assessment-Health …
5SSW3zUAAAAJ,loubna EL ZEIN,Lebanese University,https://scholar.google.com/citations?hl=en&user=5SSW3zUAAAAJ,"associate professor, Lebanese University",genetic genomic molecular biology cilia SARS-CoV-2
3MSWgvYAAAAJ,Dany El-Obeid,Lebanese University,https://scholar.google.com/citations?hl=en&user=3MSWgvYAAAAJ,Professor at the Lebanese University Faculty of Agriculture & Veterinary Sciences,Environment Bees Hydroponics Ecology and Religion
B5WmKiYAAAAJ,Baydaa AL Ayoubi,Lebanese University,https://scholar.google.com/citations?hl=en&user=B5WmKiYAAAAJ,Professor of Statistics at Lebanese University,Clustering data analysis cognitive analytics management
0PBhvMUAAAAJ,Ahmad Diab,Lebanese University,https://scholar.google.com/citations?hl=en&user=0PBhvMUAAAAJ,Full Professor at Lebanese university,Signal processing Connectivity analysis AI applied on medical data
HF0Yv1YAAAAJ,Haissam ZIADE,Lebanese University,https://scholar.google.com/citations?hl=en&user=HF0Yv1YAAAAJ,"Assistant Professor, Lebanese University, Faculty of Engineering I",Digital circuits and microprocessors test and simulation Fault tolerance
8Fz0JJgAAAAJ,Khaled EL-TAWIL,Lebanese University,https://scholar.google.com/citations?hl=en&user=8Fz0JJgAAAAJ,"Professor of Civil Engineering, Lebanese University",Reliability Maintenance Stochastic Process Random Mechanics Prognostic
xB1UwosAAAAJ,Antoine AL Choueiry,Lebanese University,https://scholar.google.com/citations?hl=en&user=xB1UwosAAAAJ,Lebanese University,
F8Etei0AAAAJ,Rouba Karen Zeidan,Lebanese University,https://scholar.google.com/citations?hl=en&user=F8Etei0AAAAJ,Lebanese University - Faculty of Public Health,
i5Kr_NgAAAAJ,Rana Rahim-Amoud,Lebanese University,https://scholar.google.com/citations?hl=en&user=i5Kr_NgAAAAJ,Lebanese University,Smart Grid Energy Management Multi Agent System Artificial Intelligence Network Slicing
4j83VDwAAAAJ,Ali El Roz,Lebanese University,https://scholar.google.com/citations?hl=en&user=4j83VDwAAAAJ,Lebanese University,Immunology Infectious Diseases Epidemiology
6-0uCZAAAAAJ,Issam KASSAB,Lebanese University,https://scholar.google.com/citations?hl=en&user=6-0uCZAAAAAJ,Lebanese University Faculty of Pharmacy,Pharmacy pharmacology Medicinal Chemistry Drug Safety Pharmacovigilance
qoALiecAAAAJ,Ali Karout,Lebanese University,https://scholar.google.com/citations?hl=en&user=qoALiecAAAAJ,"Associate Professor of Inorganic Chemistry, Lebanese University",Valorization of Biomass Biofuel Aerogel Immobilization of enzymes ionic liquid
b6kVrVkAAAAJ,Asma Chbani RIMA,Lebanese University,https://scholar.google.com/citations?hl=en&user=b6kVrVkAAAAJ,"Lebanese university, public health faculty",Marine Biotechnology
45b1a_8AAAAJ,Mohamad Naja,Lebanese University,https://scholar.google.com/citations?hl=en&user=45b1a_8AAAAJ,The Lebanese university- Faculty of Engineering,Engineering education and Earthquake …
wk9kKYgAAAAJ,"Rana Awada, PhD",Lebanese University,https://scholar.google.com/citations?hl=en&user=wk9kKYgAAAAJ,Lebanese University,Physiopathology Cellular and Molecular Biology
PRZ3VxUAAAAJ,Majd Saied,Lebanese University,https://scholar.google.com/citations?hl=en&user=PRZ3VxUAAAAJ,Lebanese University - Faculty of Engineering III,Control Systems Unmanned Aerial Vehicles
NKBZUKsAAAAJ,Rita Mbayed,Lebanese University,https://scholar.google.com/citations?hl=en&user=NKBZUKsAAAAJ,"Professor, Lebanese University, Faculty of Engineering",Electric machines - Control - Optimization …
_-0mwcAAAAAJ,Ali Kalakech,Lebanese University,https://scholar.google.com/citations?hl=en&user=_-0mwcAAAAAJ,Lebanese University,Machine Learning Operating Systems Networking Software Engineering Dependability
szTEfTcAAAAJ,Rania Jounblat,Lebanese University,https://scholar.google.com/citations?hl=en&user=szTEfTcAAAAJ,"Professor of Immunology, Lebanese University",Immunology Microbiology Cytology
dEE6WAkAAAAJ,Hussein Chible,Lebanese University,https://scholar.google.com/citations?hl=en&user=dEE6WAkAAAAJ,Professor at the Lebanese University,Microelectronics Computers Tourism Statistics
-bhN_lEAAAAJ,Oussama Bazzi,Lebanese University,https://scholar.google.com/citations?hl=en&user=-bhN_lEAAAAJ,"Professor, Lebanese University",signal processing cognitive radio wireless communications
J92-n-0AAAAJ,Wafaa bawab,Lebanese University,https://scholar.google.com/citations?hl=en&user=J92-n-0AAAAJ,"Professor of pharmacology, Lebanese University",pharmacology epidemiology clinical pharmacy
-zqM7BMAAAAJ,Hasan Fayyad-Kazan,Lebanese University,https://scholar.google.com/citations?hl=en&user=-zqM7BMAAAAJ,Lebanese University,Virtualization Embedded Systems Real-time Systems MIS Cloud Computing
CugRjNIAAAAJ,Pierre Matar,Lebanese University,https://scholar.google.com/citations?hl=en&user=CugRjNIAAAAJ,"Professor of Civil Engineering, Lebanese University",Recycled Concrete Reinforced Concrete Concrete Repair Structural Fire Design
RTWo7-EAAAAJ,Mhamad El Hage,Lebanese University,https://scholar.google.com/citations?hl=en&user=RTWo7-EAAAAJ,Lebanese University,Geomatics Engineering Remote Sensing Photogrammetry SAR DEM
geMtjGQAAAAJ,Abdel Karim EL OMAR,Lebanese University,https://scholar.google.com/citations?hl=en&user=geMtjGQAAAAJ,Lebanese University,Physical Chemistry
CiLiPUwAAAAJ,youssef harkouss,Lebanese University,https://scholar.google.com/citations?hl=en&user=CiLiPUwAAAAJ,"Professor, Lebanese University, Faculty of Engineering III, Department of …",Neural networks Fuzzy Logic Modeling System design Intelligent systems
Q9mS6kkAAAAJ,Dalia Khachman,Lebanese University,https://scholar.google.com/citations?hl=en&user=Q9mS6kkAAAAJ,"Professor of Pharmacology and Pharmacokinetics, Lebanese University",Pharmacokinetics Pharmacology Bioequivalence Clinical Pharmacy
4M6rnoYAAAAJ,El Rammouz Rabih,Lebanese University,https://scholar.google.com/citations?hl=en&user=4M6rnoYAAAAJ,Lebanese University/ Faculty of Agronomy,Animal Sciences
MmRP7t4AAAAJ,Maria BASSIL,Lebanese University,https://scholar.google.com/citations?hl=en&user=MmRP7t4AAAAJ,Lebanese University,Artificial muscle Hydrogel Smart materials
HjgvKN0AAAAJ,"Salim Nassreddine, Professor",Lebanese University,https://scholar.google.com/citations?hl=en&user=HjgvKN0AAAAJ,"Lebanese University, Faculty of Engineering",Chemical Reactor Modeling & Design …
GTEFmzkAAAAJ,youssef haddad,Lebanese University,https://scholar.google.com/citations?hl=en&user=GTEFmzkAAAAJ,"head of critical care, lebanese university",pulmonology covid critical care
X0lwvC4AAAAJ,rafic kattan,Lebanese University,https://scholar.google.com/citations?hl=en&user=X0lwvC4AAAAJ,lebanese university,physics
r96NbMYAAAAJ,Abbas HIJAZI,Lebanese University,https://scholar.google.com/citations?hl=en&user=r96NbMYAAAAJ,lebanese university,Numerical simulation WSN Computer Security
FSPElpMAAAAJ,Antonio Razzouk,Lebanese University,https://scholar.google.com/citations?hl=en&user=FSPElpMAAAAJ,"Professor of Analytical Chemistry, Lebanese University",
-OQyZoAAAAAJ,Claude Daou,Lebanese University,https://scholar.google.com/citations?hl=en&user=-OQyZoAAAAAJ,Lebanese university,Water Quality
jYSs3W4AAAAJ,Hassan Ghamlouche,Lebanese University,https://scholar.google.com/citations?hl=en&user=jYSs3W4AAAAJ,"Professor of Physics, Lebanese University",Condensed Matter Physics
NPp-0aIAAAAJ,Najah AR Ghamrawi,Lebanese University,https://scholar.google.com/citations?hl=en&user=NPp-0aIAAAAJ,"Professor of Educational Psychology , Lebanese University",Education Educational Psychology
Jtge_4sAAAAJ,khalil cherry,Lebanese University,https://scholar.google.com/citations?hl=en&user=Jtge_4sAAAAJ,"Full Professor of Organic Chemistry, Lebanese University",Potential biologically active compounds Medicinal Chemistry
91k2BH0AAAAJ,Philippe Sleiman,Lebanese University,https://scholar.google.com/citations?hl=en&user=91k2BH0AAAAJ,"University of North Carolina, Lebanese University Dental School",endodontics profsleiman@gmail.com
rIpg3aMAAAAJ,Bassem Bakhache,Lebanese University,https://scholar.google.com/citations?hl=en&user=rIpg3aMAAAAJ,Lebanese University - Engineering Faculty,networking security cryptography telecommunication
32roLEEAAAAJ,Jihane Jabbour,Lebanese University,https://scholar.google.com/citations?hl=en&user=32roLEEAAAAJ,Lebanese University,sol gel physics materials wave guide
ylbuCFkAAAAJ,Maria Saadeh,Lebanese University,https://scholar.google.com/citations?hl=en&user=ylbuCFkAAAAJ,"Associate Professor, Lebanese University Faculty of Dental Medicine",Orthodontics
dIGJ6HkAAAAJ,Khalil El Khoury,Lebanese University,https://scholar.google.com/citations?hl=en&user=dIGJ6HkAAAAJ,"Professor, Lebanese University, Faculty of Engineering",Energy heat transfer modeling
Vrgcte4AAAAJ,Bassam Mourad,Lebanese University,https://scholar.google.com/citations?hl=en&user=Vrgcte4AAAAJ,Lebanese university,Linear algebra and matrix theory operator inequalities spectral graph theory number theory Lie groups and Lie algebras
itSTJhQAAAAJ,Nathalie Chahine,Lebanese University,https://scholar.google.com/citations?hl=en&user=itSTJhQAAAAJ,"Associate Professor of Physiology, Faculty of Public Health, Lebanese University",Physiology oxidative stress cancer
AXolilYAAAAJ,Mirna Atieh,Lebanese University,https://scholar.google.com/citations?hl=en&user=AXolilYAAAAJ,Lebanese University,Artificial Intelligence Operational Research
aod00PQAAAAJ,Hussein Medlej,Lebanese University,https://scholar.google.com/citations?hl=en&user=aod00PQAAAAJ,Islamic University of Lebanon/Lebanese University,chimie organique chimie et physico-chimie des polymères photovoltaïque organique matériaux photocatalyse
W6-zhkUAAAAJ,Ahmad ElDouhaibi,Lebanese University,https://scholar.google.com/citations?hl=en&user=W6-zhkUAAAAJ,"Professor of chemistry, Lebanese university",
8ZqfA0YAAAAJ,Hanan Charaf,Lebanese University,https://scholar.google.com/citations?hl=en&user=8ZqfA0YAAAAJ,"Associate Professor of Art and Archaeology, Lebanese University",Canaanites Phoenicians Bronze Age Iron Age pottery
wC31QZYAAAAJ,Mhamad ABOU-HAMDAN,Lebanese University,https://scholar.google.com/citations?hl=en&user=wC31QZYAAAAJ,Faculty of Sciences - Lebanese University,Neuroimmunology Infectious disease
BLe8-3UAAAAJ,Wael Youssef,Lebanese University,https://scholar.google.com/citations?hl=en&user=BLe8-3UAAAAJ,Professor (Full)- Lebanese University,Partial Differential Equations - Control Theory
nTyQubgAAAAJ,Jaafar Hallal,Lebanese University,https://scholar.google.com/citations?hl=en&user=nTyQubgAAAAJ,"Lebanese University, Faculty of Engineering",Vibrations Structural Dynamics Finite Element Analysis Renewable Energy
0Nz8Iv4AAAAJ,Tareq Al Sagheer,Lebanese University,https://scholar.google.com/citations?hl=en&user=0Nz8Iv4AAAAJ,"PhD in Neuroscience, Lebanese University, Neuroscience Research Center",Behavioral neuroscience Cognitive neuroscience Cell biology Anatomy
P_A5MpgAAAAJ,Hussein Bazzi,Lebanese University,https://scholar.google.com/citations?hl=en&user=P_A5MpgAAAAJ,"Associate Professor, Lebanese University",CFD Heat Transfer Thermocapillary Fluid Flow Molecular Physics
H-G6Xj8AAAAJ,EL khoury Hicham,Lebanese University,https://scholar.google.com/citations?hl=en&user=H-G6Xj8AAAAJ,"Associate Professor of Computer Science, Lebanese University",Modeling Machine Learning eLearning ICT STEAM education
V_N1FPoAAAAJ,Maher El Rafei,Lebanese University,https://scholar.google.com/citations?hl=en&user=V_N1FPoAAAAJ,"Associate Professor for Control Systems and Robotics, Lebanese University, Faculty of …",Control Systems Parallel Manipulators Biomometics Robotics Mechatronics Industrial Automation
uH0ostgAAAAJ,Amine El Sahili,Lebanese University,https://scholar.google.com/citations?hl=en&user=uH0ostgAAAAJ,Lebanese University,Graph Theory
bSdLROwAAAAJ,Prof Fadel Chamssedine,Lebanese University,https://scholar.google.com/citations?hl=en&user=bSdLROwAAAAJ,Lebanese university,Galsses and ceramics Nanomaterials batteries ion beam analysis nuclear materials
cKkkrSIAAAAJ,Ghassan Mourad,Lebanese University,https://scholar.google.com/citations?hl=en&user=cKkkrSIAAAAJ,"UL, الجامعة اللبنانية",NLP حوسبة اللغة، اللسانيات الحاسوبية، الذكاء …
dDUVTJsAAAAJ,Hala Chahine,Lebanese University,https://scholar.google.com/citations?hl=en&user=dDUVTJsAAAAJ,Associate Professor Lebanese University,food loss postharvest
zZbin3AAAAAJ,Bilal Houshaymi,Lebanese University,https://scholar.google.com/citations?hl=en&user=zZbin3AAAAAJ,Lebanese University,Microbiology Molecualr Biology cell biology
RhUpdZ4AAAAJ,Samia Bazzi,Lebanese University,https://scholar.google.com/citations?hl=en&user=RhUpdZ4AAAAJ,Lebanese University,Translation Studies Critical Discourse Studies politics media comparative linguistics
U-nHEX0AAAAJ,Ali Beydoun,Lebanese University,https://scholar.google.com/citations?hl=en&user=U-nHEX0AAAAJ,"Professor of Electronics and communication systems, Lebanese university",MIMO OFDM Timing synchronization channel estimation spectrum sensing
P21Tl_wAAAAJ,"Pr. Michel F. Khouri, Ph.D.",Lebanese University,https://scholar.google.com/citations?hl=en&user=P21Tl_wAAAAJ,"Professor, Faculty of Engineering, Branch II, Roumieh, Lebanese University",Personal Information
